EventID	ArrivalGlobalIdx	ArrivalTime_s	X_mm	Y_mm	LocateConf	MaxX	MaxY	DetectConf	HitCount
1	370166	0.123389	234.299	-214.748	0.773	0.809	0.736	0.974	3
2	644210	0.214737	-156.708	176.870	0.707	0.776	0.637	0.991	2
3	749663	0.249888	124.328	-119.440	0.897	0.895	0.898	0.995	9
4	948570	0.316190	123.412	-120.662	0.811	0.765	0.857	0.990	9
5	1051202	0.350401	175.953	-167.094	0.829	0.821	0.837	0.978	8
6	1346711	0.448904	-102.028	109.971	0.712	0.755	0.670	0.980	2
7	1478050	0.492683	102.945	-115.164	0.874	0.842	0.906	0.993	10
8	1584569	0.528190	-116.997	124.633	0.672	0.845	0.498	0.990	2
9	1619588	0.539863	180.230	-157.625	0.692	0.667	0.718	0.959	5
10	1705656	0.568552	-106.610	110.582	0.634	0.771	0.498	0.991	5
11	1843470	0.614490	-215.359	235.215	0.801	0.780	0.821	0.992	5
12	2187322	0.729107	-114.553	127.383	0.813	0.857	0.769	0.994	9
13	2597521	0.865840	107.221	-105.694	0.743	0.760	0.725	0.990	2
14	2927531	0.975844	-214.748	233.993	0.804	0.816	0.793	0.993	7
15	3248045	1.082682	-96.835	-96.835	0.443	0.480	0.406	0.977	2
16	3353344	1.117781	-81.256	-72.397	0.755	0.832	0.677	0.959	7
17	3840345	1.280115	-156.708	178.397	0.718	0.765	0.672	0.991	6
18	3851817	1.283939	111.498	-110.887	0.688	0.566	0.810	0.981	2
19	4009503	1.336501	-155.486	178.702	0.704	0.805	0.602	0.983	9
20	4254166	1.418055	-107.527	109.360	0.646	0.739	0.554	0.976	3
21	4334965	1.444988	-87.060	-82.173	0.701	0.737	0.664	0.982	3
22	4429100	1.476367	-155.792	178.091	0.639	0.758	0.520	0.987	3
23	4771268	1.590423	-81.867	-80.951	0.650	0.671	0.628	0.960	2
24	5530449	1.843483	-89.504	-86.755	0.775	0.787	0.763	0.990	4
25	5544053	1.848018	-165.261	184.812	0.644	0.607	0.681	0.987	4
26	5641986	1.880662	-109.665	83.700	0.887	0.885	0.890	0.994	5
27	6381193	2.127064	-115.164	117.608	0.808	0.889	0.726	0.994	9
28	6408303	2.136101	187.256	-151.210	0.574	0.638	0.511	0.989	4
29	6588842	2.196281	-138.380	136.241	0.861	0.883	0.839	0.982	10
30	7057500	2.352500	-88.282	-84.922	0.657	0.693	0.622	0.713	2
31	7071630	2.357210	84.616	-112.414	0.875	0.884	0.866	0.994	8
32	7219147	2.406382	-108.443	114.858	0.631	0.764	0.498	0.989	3
33	7296138	2.432046	-121.579	124.633	0.858	0.897	0.820	0.990	9
34	7322627	2.440876	175.648	-124.633	0.670	0.533	0.807	0.978	6
35	7521073	2.507024	171.371	-147.239	0.642	0.486	0.798	0.973	4
36	7957898	2.652633	-149.682	147.544	0.768	0.848	0.687	0.978	9
37	8052980	2.684327	-166.178	180.230	0.676	0.639	0.712	0.991	6
38	8070573	2.690191	-149.682	137.769	0.717	0.828	0.607	0.993	8
39	8075374	2.691791	-95.613	-93.170	0.620	0.635	0.605	0.878	4
40	8147977	2.715992	-103.861	107.832	0.625	0.716	0.533	0.962	2
41	8148738	2.716246	-153.653	177.786	0.594	0.669	0.520	0.992	4
42	8455788	2.818596	-133.187	142.045	0.586	0.699	0.474	0.991	3
43	8761425	2.920475	-161.290	184.201	0.672	0.716	0.628	0.989	8
44	9029746	3.009915	234.604	-218.414	0.781	0.818	0.744	0.993	10
45	9129534	3.043178	133.798	-139.296	0.847	0.829	0.864	0.993	8
46	9286899	3.095633	-62.622	-69.648	0.731	0.645	0.817	0.989	5
47	9404369	3.134790	-122.801	127.688	0.807	0.868	0.746	0.992	9
48	9431532	3.143844	-175.342	181.146	0.542	0.483	0.602	0.992	2
49	9490899	3.163633	-151.210	177.480	0.652	0.731	0.573	0.990	7
50	9525202	3.175067	-101.417	111.498	0.590	0.691	0.488	0.993	3
51	9539521	3.179840	-135.325	127.688	0.922	0.933	0.912	0.995	9
52	9569883	3.189961	-176.564	190.005	0.750	0.755	0.744	0.994	7
53	9745839	3.248613	233.382	-215.665	0.644	0.756	0.531	0.957	6
54	9791675	3.263892	88.893	-157.319	0.818	0.837	0.798	0.947	2
55	9820835	3.273612	-214.748	236.437	0.730	0.745	0.715	0.970	3
56	10036991	3.345664	234.604	-215.665	0.676	0.759	0.593	0.979	5
57	10102655	3.367552	-156.097	169.538	0.793	0.810	0.776	0.989	8
58	10151107	3.383702	183.284	-165.261	0.652	0.740	0.565	0.987	4
59	10360720	3.453573	-107.527	117.608	0.771	0.829	0.712	0.992	2
60	10360720	3.453573	-102.334	113.331	0.641	0.719	0.564	0.991	3
61	10728439	3.576146	-83.394	-77.590	0.601	0.795	0.407	0.993	2
62	10741128	3.580376	-153.653	152.737	0.691	0.755	0.628	0.933	8
63	10755051	3.585017	-38.490	-66.593	0.542	0.443	0.641	0.788	3
64	10800251	3.600084	235.521	-218.719	0.754	0.842	0.667	0.992	10
65	10809790	3.603263	-214.748	233.993	0.772	0.782	0.761	0.800	4
66	10833344	3.611115	-221.163	226.967	0.580	0.544	0.616	0.895	4
67	10885178	3.628393	-85.533	-0.305	0.893	0.904	0.882	0.993	4
68	11052502	3.684167	-162.818	177.786	0.797	0.793	0.802	0.992	9
69	11563399	3.854466	-147.849	167.705	0.796	0.830	0.763	0.983	8
70	11578346	3.859449	-113.331	112.414	0.794	0.888	0.699	0.979	9
71	11596454	3.865485	-157.319	171.371	0.619	0.799	0.440	0.976	3
72	11601671	3.867224	-96.530	-90.726	0.717	0.765	0.669	0.989	5
73	11820013	3.940004	-114.247	125.550	0.731	0.830	0.632	0.994	8
74	11842866	3.947622	-107.221	110.887	0.650	0.775	0.525	0.992	5
75	11964349	3.988116	-157.930	182.674	0.688	0.791	0.586	0.991	4
76	12259968	4.086656	-102.945	115.775	0.613	0.726	0.500	0.994	3
77	12277275	4.092425	174.426	-169.844	0.827	0.849	0.806	0.993	8
78	12396997	4.132332	182.979	-161.596	0.739	0.687	0.791	0.956	7
79	12454051	4.151350	-156.403	167.400	0.849	0.858	0.839	0.995	9
80	12488361	4.162787	-116.386	122.801	0.654	0.797	0.510	0.990	3
81	12616087	4.205362	233.993	-216.581	0.665	0.769	0.561	0.937	4
82	12622825	4.207608	234.910	-234.910	0.688	0.727	0.648	0.994	9
83	12690523	4.230174	-217.192	229.717	0.540	0.414	0.666	0.939	2
84	12712965	4.237655	-162.818	184.506	0.780	0.820	0.741	0.992	9
85	12976824	4.325608	-157.319	180.230	0.670	0.691	0.650	0.958	3
86	12990799	4.330266	234.910	-223.607	0.690	0.803	0.578	0.988	9
87	13020508	4.340169	-175.342	184.506	0.638	0.631	0.645	0.994	7
88	13125835	4.375278	126.161	-132.576	0.880	0.872	0.889	0.992	10
89	13135120	4.378373	-102.334	-97.141	0.662	0.746	0.579	0.989	4
90	13219828	4.406609	41.850	-22.605	0.813	0.764	0.863	0.990	2
91	13240466	4.413489	-170.760	179.924	0.746	0.702	0.790	0.992	7
92	13382355	4.460785	-158.847	147.239	0.864	0.885	0.842	0.990	8
93	13488499	4.496166	-152.737	180.230	0.639	0.657	0.621	0.993	5
94	13874934	4.624978	-169.538	183.590	0.590	0.575	0.605	0.989	8
95	13981641	4.660547	-88.587	-80.645	0.672	0.785	0.559	0.991	2
96	14082653	4.694218	-116.080	103.556	0.891	0.920	0.862	0.996	9
97	14087254	4.695751	-96.224	-93.475	0.602	0.642	0.562	0.985	3
98	14272850	4.757617	-94.391	-90.420	0.761	0.772	0.750	0.994	3
99	14374817	4.791606	-171.676	182.979	0.597	0.486	0.708	0.901	4
100	14397382	4.799127	83.394	-102.639	0.769	0.814	0.724	0.977	4
101	14546541	4.848847	-96.530	-92.559	0.712	0.721	0.702	0.989	4
102	14608783	4.869594	180.535	-157.014	0.715	0.705	0.725	0.972	3
103	14628929	4.876310	-120.051	125.550	0.789	0.867	0.712	0.989	9
104	14788739	4.929580	-166.483	179.313	0.601	0.587	0.615	0.994	7
105	14922215	4.974072	-160.374	204.973	0.658	0.689	0.626	0.989	7
106	14976455	4.992152	-97.141	-93.475	0.682	0.706	0.659	0.979	2
107	15049126	5.016375	182.979	-158.847	0.738	0.726	0.751	0.768	4
108	15111711	5.037237	-158.236	175.953	0.781	0.780	0.782	0.989	9
109	15198632	5.066211	-148.766	171.676	0.682	0.784	0.579	0.987	2
110	15417736	5.139245	-164.651	184.201	0.732	0.754	0.711	0.988	8
111	15481097	5.160366	-73.008	86.449	0.860	0.862	0.857	0.994	4
112	15548679	5.182893	111.193	-109.054	0.631	0.481	0.781	0.971	2
113	15583598	5.194533	234.299	-214.748	0.758	0.785	0.731	0.975	2
114	15653552	5.217851	-158.236	180.230	0.776	0.823	0.729	0.992	7
115	15820142	5.273381	-91.337	-88.893	0.738	0.748	0.728	0.993	3
116	15894199	5.298066	-103.861	114.247	0.650	0.734	0.566	0.993	2
117	16116534	5.372178	-214.443	234.910	0.772	0.773	0.771	0.989	7
118	16146488	5.382163	166.483	-150.599	0.721	0.601	0.840	0.852	3
119	16233428	5.411143	-87.671	-80.340	0.676	0.811	0.541	0.989	2
120	16247642	5.415881	-105.694	110.887	0.879	0.907	0.852	0.973	8
121	16260059	5.420020	188.478	-164.040	0.685	0.640	0.730	0.981	6
122	16361247	5.453749	-49.792	-68.732	0.772	0.692	0.852	0.984	6
123	16473730	5.491243	-109.971	118.218	0.656	0.781	0.532	0.992	2
