EventID	ArrivalGlobalIdx	ArrivalTime_s	X_mm	Y_mm	LocateConf	MaxX	MaxY	DetectConf	HitCount
1	63891	0.021297	175.648	-173.815	0.821	0.822	0.820	0.992	9
2	489590	0.163197	-161.596	175.342	0.659	0.683	0.636	0.993	8
3	1311758	0.437253	-161.290	178.397	0.523	0.523	0.523	0.982	2
4	1321124	0.440375	233.993	-215.970	0.694	0.718	0.669	0.989	8
5	1404383	0.468128	-47.959	-66.288	0.647	0.591	0.702	0.984	2
6	1475879	0.491960	129.826	-125.550	0.847	0.812	0.882	0.993	4
7	1930501	0.643500	123.717	-120.968	0.885	0.890	0.881	0.995	9
8	2467449	0.822483	37.573	-27.493	0.879	0.869	0.888	0.997	9
9	2940355	0.980118	105.694	-107.221	0.809	0.809	0.809	0.962	3
10	2941090	0.980363	-146.017	125.855	0.662	0.751	0.573	0.990	4
11	3031006	1.010335	-142.656	114.553	0.590	0.658	0.523	0.971	2
12	3056283	1.018761	83.089	-82.783	0.813	0.801	0.825	0.992	3
13	3403599	1.134533	84.616	-68.121	0.841	0.831	0.851	0.992	2
14	3841339	1.280446	-163.123	177.480	0.652	0.688	0.615	0.981	3
15	4555600	1.518533	-92.559	-88.587	0.696	0.735	0.657	0.855	2
16	5044296	1.681432	84.311	-87.060	0.857	0.878	0.837	0.992	8
17	5218833	1.739611	-96.224	-94.391	0.561	0.612	0.510	0.932	2
18	5273605	1.757868	-113.636	119.746	0.686	0.814	0.558	0.991	8
19	5319596	1.773199	-7.942	-45.516	0.664	0.530	0.797	0.991	2
20	5650373	1.883458	-80.951	-74.230	0.635	0.835	0.435	0.983	2
21	5933905	1.977968	-146.017	165.567	0.656	0.795	0.516	0.939	8
22	6291987	2.097329	-116.691	127.994	0.847	0.888	0.807	0.987	9
23	7159845	2.386615	125.855	-119.440	0.884	0.874	0.894	0.996	10
24	7309670	2.436557	-88.587	6.720	0.749	0.763	0.736	0.992	2
25	7675880	2.558627	-155.792	178.397	0.649	0.665	0.634	0.985	4
26	8189928	2.729976	173.509	-146.322	0.858	0.850	0.865	0.992	10
27	8226363	2.742121	138.685	-111.804	0.754	0.664	0.844	0.991	7
28	8337748	2.779249	-156.403	179.313	0.717	0.769	0.666	0.987	7
29	8581182	2.860394	-214.137	233.993	0.787	0.771	0.803	0.868	3
30	8696667	2.898889	-46.127	16.496	0.906	0.905	0.908	0.992	5
31	9058787	3.019596	105.389	-116.997	0.881	0.846	0.916	0.993	9
32	9076620	3.025540	85.533	-78.507	0.832	0.815	0.848	0.990	2
33	9309886	3.103295	-215.054	234.604	0.805	0.817	0.793	0.993	8
34	9403370	3.134457	-163.123	181.146	0.705	0.793	0.617	0.989	8
35	9490149	3.163383	-96.530	109.054	0.542	0.565	0.520	0.973	3
36	9524825	3.174942	-160.068	181.452	0.704	0.714	0.693	0.992	7
37	9566895	3.188965	-107.527	106.610	0.671	0.803	0.540	0.987	4
38	9650492	3.216831	-214.748	234.910	0.788	0.770	0.807	0.989	5
39	9716482	3.238827	-82.783	-80.034	0.654	0.670	0.638	0.983	2
40	9893569	3.297856	-163.429	175.953	0.658	0.705	0.610	0.992	8
41	9972338	3.324113	-164.956	179.313	0.606	0.628	0.584	0.989	2
42	9996851	3.332284	43.072	-26.576	0.813	0.746	0.879	0.988	4
43	10190873	3.396958	108.443	-111.193	0.752	0.673	0.831	0.993	8
44	10343311	3.447770	119.746	-116.386	0.788	0.713	0.863	0.994	5
45	10427818	3.475939	96.224	-157.930	0.821	0.791	0.851	0.986	5
46	10502965	3.500988	-158.847	170.455	0.794	0.814	0.774	0.988	8
47	10737604	3.579201	-148.460	170.760	0.584	0.769	0.400	0.986	3
48	10861277	3.620426	121.579	-120.662	0.888	0.874	0.901	0.994	9
49	10952928	3.650976	-67.204	-62.622	0.655	0.763	0.548	0.959	3
50	11012357	3.670786	-107.221	113.025	0.561	0.677	0.444	0.978	2
51	11296033	3.765344	-89.198	-84.005	0.759	0.811	0.708	0.945	5
52	11387542	3.795847	-69.954	-65.371	0.776	0.814	0.739	0.713	6
53	11464553	3.821518	-89.198	-22.911	0.825	0.886	0.764	0.979	2
54	11482172	3.827391	-95.613	-93.170	0.723	0.743	0.704	0.937	4
55	11668632	3.889544	-154.264	178.091	0.679	0.721	0.637	0.983	2
56	11730284	3.910095	231.244	-196.725	0.564	0.642	0.487	0.983	6
57	11829616	3.943205	182.979	-161.290	0.782	0.806	0.759	0.991	7
58	11867696	3.955899	183.590	-158.847	0.694	0.757	0.631	0.901	6
59	11905619	3.968540	-91.642	-21.994	0.693	0.851	0.536	0.994	4
60	11910323	3.970108	-213.832	232.160	0.812	0.848	0.776	0.988	9
61	12017103	4.005701	90.420	-85.533	0.885	0.878	0.893	0.995	7
62	12232555	4.077518	130.437	-147.849	0.731	0.630	0.833	0.993	4
63	12330630	4.110210	-131.965	127.688	0.887	0.903	0.871	0.989	9
64	12374953	4.124984	-74.230	-26.271	0.835	0.903	0.767	0.988	3
65	12661264	4.220421	-214.748	234.604	0.814	0.805	0.822	0.972	9
66	12840128	4.280043	-116.080	115.469	0.732	0.852	0.611	0.991	8
67	12979940	4.326647	-108.443	116.997	0.607	0.746	0.468	0.986	2
68	13012190	4.337397	-107.527	112.109	0.771	0.826	0.715	0.975	5
69	13093736	4.364579	180.841	-153.653	0.565	0.483	0.647	0.936	2
70	13168438	4.389479	86.144	-83.394	0.834	0.825	0.844	0.991	3
71	13350799	4.450266	166.789	-153.653	0.868	0.864	0.872	0.993	9
72	13389701	4.463234	-155.181	175.953	0.697	0.762	0.633	0.991	7
73	13449442	4.483147	173.815	-145.406	0.694	0.590	0.798	0.992	3
74	13567006	4.522335	-214.137	233.382	0.800	0.791	0.810	0.823	8
75	13678694	4.559565	-97.446	-91.948	0.691	0.725	0.656	0.989	8
76	13694466	4.564822	165.872	-149.988	0.863	0.872	0.854	0.992	10
77	13836241	4.612080	-214.137	234.604	0.822	0.824	0.820	0.976	7
78	13902348	4.634116	128.299	-120.662	0.808	0.739	0.877	0.993	7
79	13997962	4.665987	-116.386	127.994	0.777	0.851	0.703	0.991	8
80	14033297	4.677766	-144.795	125.855	0.889	0.907	0.871	0.995	8
81	14056391	4.685464	233.382	-215.970	0.573	0.669	0.477	0.982	2
82	14584286	4.861429	112.414	-108.443	0.765	0.693	0.836	0.993	6
83	14645066	4.881689	178.397	-170.760	0.681	0.728	0.634	0.984	2
84	14839159	4.946386	-94.391	-89.809	0.720	0.769	0.671	0.987	2
85	14869034	4.956345	-90.115	-88.893	0.754	0.758	0.751	0.814	2
86	15141295	5.047098	-149.377	167.094	0.728	0.808	0.648	0.987	9
87	15196375	5.065458	-97.141	-96.530	0.504	0.536	0.472	0.991	2
88	15281695	5.093898	-162.207	175.953	0.533	0.495	0.571	0.993	3
89	15364566	5.121522	120.968	-113.636	0.747	0.657	0.837	0.992	9
90	15386392	5.128797	-214.443	233.688	0.825	0.832	0.818	0.996	5
91	15449846	5.149949	-127.688	106.000	0.656	0.608	0.704	0.974	3
92	15469100	5.156367	-157.625	178.397	0.704	0.789	0.618	0.994	9
93	15530614	5.176871	126.466	-118.829	0.888	0.878	0.898	0.995	9
94	15579974	5.193325	-114.858	125.855	0.869	0.882	0.856	0.992	10
