EventID	ArrivalGlobalIdx	ArrivalTime_s	X_mm	Y_mm	LocateConf	MaxX	MaxY	DetectConf	HitCount
1	27085	0.009028	-126.466	127.383	0.879	0.892	0.866	0.995	9
2	224991	0.074997	-118.524	125.244	0.772	0.846	0.698	0.978	9
3	229689	0.076563	117.302	-116.386	0.786	0.701	0.870	0.990	7
4	261628	0.087209	-68.426	-66.593	0.716	0.758	0.673	0.984	2
5	371725	0.123908	-136.852	128.299	0.645	0.721	0.568	0.977	2
6	381568	0.127189	-65.982	-64.455	0.754	0.814	0.693	0.993	4
7	484874	0.161625	-151.515	228.189	0.793	0.819	0.767	0.996	10
8	489075	0.163025	-169.233	204.362	0.774	0.795	0.753	0.994	9
9	614072	0.204691	-97.141	-94.697	0.618	0.649	0.588	0.968	4
10	672970	0.224323	236.437	-237.964	0.775	0.815	0.735	0.993	9
11	856151	0.285384	-95.919	-93.781	0.686	0.690	0.682	0.994	4
12	1327789	0.442596	124.939	-120.968	0.842	0.791	0.893	0.990	9
13	1369502	0.456501	123.106	-117.913	0.899	0.883	0.916	0.994	9
14	1508451	0.502817	-116.386	126.161	0.803	0.868	0.739	0.991	8
15	1513360	0.504453	-164.345	183.284	0.617	0.555	0.680	0.990	5
16	1732361	0.577454	-95.613	-90.115	0.731	0.762	0.700	0.992	2
17	2022373	0.674124	84.311	-98.057	0.676	0.747	0.604	0.929	2
18	2158484	0.719495	104.167	-112.414	0.834	0.794	0.874	0.991	4
19	2224160	0.741387	-117.302	131.659	0.860	0.904	0.816	0.994	10
20	2280420	0.760140	123.412	-114.247	0.766	0.707	0.824	0.995	9
21	2306201	0.768734	-97.141	-89.809	0.728	0.769	0.688	0.982	4
22	2518643	0.839548	-149.682	176.259	0.699	0.766	0.632	0.994	5
23	2947308	0.982436	-214.748	234.910	0.766	0.766	0.766	0.980	3
24	2992856	0.997619	111.193	-116.691	0.767	0.699	0.834	0.991	3
25	3000432	1.000144	234.910	-215.665	0.822	0.829	0.815	0.814	8
26	3922602	1.307534	-99.890	-87.977	0.744	0.831	0.657	0.992	5
27	4195447	1.398482	191.227	-177.175	0.705	0.695	0.714	0.994	4
28	4351830	1.450610	85.227	-100.501	0.824	0.864	0.784	0.992	2
29	4359054	1.453018	-152.737	167.094	0.691	0.793	0.589	0.981	9
30	4584104	1.528035	-144.795	164.956	0.805	0.854	0.756	0.972	8
31	4769568	1.589856	-87.977	-82.783	0.737	0.799	0.675	0.992	2
32	4780706	1.593569	-82.173	97.446	0.852	0.900	0.804	0.979	2
33	4835251	1.611750	-177.480	178.702	0.630	0.521	0.738	0.987	3
34	5078976	1.692992	-161.596	176.870	0.661	0.690	0.631	0.989	7
35	5443265	1.814422	86.144	-83.700	0.843	0.852	0.833	0.986	4
36	5452099	1.817366	166.789	-144.795	0.693	0.533	0.853	0.983	6
37	5801797	1.933932	-213.221	233.688	0.741	0.771	0.710	0.988	8
38	5947770	1.982590	-123.717	121.884	0.911	0.920	0.902	0.982	9
39	5999696	1.999899	178.091	-153.653	0.775	0.751	0.800	0.965	3
40	6233270	2.077757	179.008	-158.236	0.693	0.588	0.797	0.933	2
41	6690186	2.230062	-145.711	148.766	0.699	0.833	0.565	0.994	9
42	6697799	2.232600	-163.429	178.397	0.687	0.641	0.734	0.990	2
43	6989967	2.329989	111.804	-111.193	0.789	0.736	0.843	0.993	6
44	7081552	2.360517	-159.152	181.146	0.672	0.700	0.645	0.993	3
45	7178195	2.392732	182.674	-156.708	0.769	0.726	0.811	0.991	7
46	7279513	2.426504	-108.443	118.524	0.658	0.779	0.537	0.977	2
47	7380368	2.460123	111.498	-113.636	0.811	0.754	0.867	0.991	5
48	7392819	2.464273	125.244	-113.636	0.869	0.858	0.879	0.990	7
49	7624875	2.541625	41.239	-17.717	0.870	0.854	0.886	0.994	9
50	7691676	2.563892	-157.014	176.870	0.607	0.709	0.504	0.990	3
51	7948449	2.649483	-116.080	124.939	0.717	0.840	0.595	0.992	6
52	8005373	2.668458	-167.400	87.977	0.612	0.514	0.710	0.986	2
53	8256051	2.752017	-109.054	111.193	0.665	0.783	0.547	0.989	8
54	8294594	2.764865	162.512	-142.656	0.855	0.825	0.885	0.992	9
55	8500949	2.833650	133.187	-113.025	0.815	0.774	0.856	0.991	7
56	8559224	2.853075	184.506	-161.290	0.712	0.689	0.735	0.988	6
57	8581527	2.860509	-87.977	86.755	0.811	0.859	0.763	0.991	2
58	8894082	2.964694	-115.469	127.077	0.855	0.886	0.824	0.992	9
59	8904809	2.968270	-32.380	-35.740	0.770	0.797	0.742	0.972	3
60	8955721	2.985240	-87.060	76.979	0.908	0.921	0.895	0.993	7
61	9015103	3.005034	87.366	-79.423	0.736	0.752	0.719	0.992	3
62	9225750	3.075250	-163.429	176.870	0.704	0.678	0.730	0.993	7
63	9228600	3.076200	-167.400	167.705	0.834	0.825	0.843	0.991	8
64	9330523	3.110174	-92.253	-84.616	0.743	0.855	0.630	0.992	2
65	9528939	3.176313	-172.898	179.924	0.596	0.586	0.606	0.994	5
66	9831147	3.277049	-148.460	141.740	0.819	0.871	0.766	0.993	8
67	10072984	3.357661	-160.374	177.786	0.700	0.710	0.690	0.990	8
68	10129055	3.376352	183.590	-163.429	0.576	0.632	0.521	0.963	4
69	10278484	3.426161	-96.530	-95.613	0.514	0.541	0.488	0.947	2
70	10339705	3.446568	-150.599	176.870	0.640	0.730	0.549	0.991	8
71	10523152	3.507717	87.671	-151.515	0.778	0.754	0.802	0.993	3
72	10614933	3.538311	234.299	-220.247	0.777	0.803	0.751	0.993	10
73	10626299	3.542100	-146.933	172.593	0.679	0.782	0.576	0.991	8
74	10773712	3.591237	-156.403	180.535	0.597	0.681	0.513	0.988	5
75	10779112	3.593037	-148.460	143.267	0.828	0.867	0.788	0.995	9
76	10788574	3.596191	-190.005	183.284	0.637	0.631	0.643	0.991	7
77	11110667	3.703556	-166.483	183.590	0.670	0.643	0.696	0.995	8
78	11159756	3.719919	-87.366	-1.222	0.901	0.903	0.900	0.991	3
79	11306035	3.768678	-116.080	128.605	0.840	0.863	0.817	0.991	9
80	11332808	3.777603	-106.916	107.527	0.704	0.820	0.588	0.959	2
81	11362087	3.787362	234.910	-215.054	0.766	0.817	0.715	0.990	8
82	11435385	3.811795	-96.835	-90.115	0.652	0.700	0.604	0.989	2
83	11463130	3.821043	-143.267	170.760	0.756	0.806	0.705	0.988	8
