EventID	ArrivalGlobalIdx	ArrivalTime_s	X_mm	Y_mm	LocateConf	MaxX	MaxY	DetectConf	HitCount
1	14374	0.004791	-214.748	233.688	0.686	0.687	0.685	0.964	4
2	16051	0.005350	-214.443	230.938	0.522	0.633	0.410	0.861	2
3	30850	0.010283	-172.287	180.841	0.579	0.500	0.657	0.983	2
4	35539	0.011846	-161.290	149.682	0.760	0.819	0.700	0.906	3
5	49546	0.016515	-175.037	235.521	0.842	0.882	0.803	0.991	10
6	53542	0.017847	-92.253	-83.394	0.660	0.808	0.512	0.993	2
7	60923	0.020308	29.326	-30.547	0.851	0.810	0.893	0.993	10
8	68028	0.022676	-214.443	233.688	0.729	0.729	0.728	0.857	5
9	75995	0.025332	185.423	-160.679	0.765	0.754	0.775	0.901	3
10	81891	0.027297	39.101	-64.761	0.816	0.736	0.896	0.947	6
11	97358	0.032453	-213.832	232.160	0.730	0.745	0.714	0.992	7
12	104306	0.034769	-214.137	235.215	0.605	0.651	0.558	0.976	3
13	109904	0.036635	235.826	-213.832	0.731	0.779	0.682	0.720	6
14	115022	0.038341	90.115	-96.224	0.744	0.757	0.731	0.993	2
15	117058	0.039019	-179.924	234.910	0.626	0.640	0.611	0.990	5
16	137484	0.045828	-179.008	230.022	0.609	0.641	0.577	0.987	4
17	143625	0.047875	-214.443	234.910	0.746	0.728	0.765	0.989	4
18	145642	0.048547	-157.319	211.388	0.868	0.857	0.878	0.995	10
19	155092	0.051697	128.299	-143.573	0.876	0.878	0.873	0.994	9
20	159457	0.053152	-153.043	175.953	0.665	0.727	0.603	0.965	8
21	167241	0.055747	3.971	-48.876	0.647	0.457	0.836	0.994	2
22	180715	0.060238	-113.331	118.218	0.707	0.851	0.563	0.984	5
23	219397	0.073132	-183.590	201.307	0.922	0.923	0.920	0.991	9
24	228854	0.076285	-155.181	226.051	0.800	0.857	0.744	0.996	10
25	237146	0.079049	-170.455	233.077	0.722	0.712	0.732	0.993	10
26	281009	0.093670	-157.625	237.964	0.787	0.816	0.758	0.993	9
27	284707	0.094902	80.645	-86.755	0.857	0.859	0.855	0.865	2
28	291286	0.097095	-196.420	228.189	0.533	0.527	0.539	0.993	3
29	293127	0.097709	-160.985	204.362	0.817	0.822	0.812	0.994	10
30	297787	0.099262	-213.526	230.633	0.739	0.751	0.727	0.939	6
31	368016	0.122672	-177.175	204.973	0.857	0.884	0.831	0.996	9
32	376150	0.125383	-215.970	233.993	0.742	0.736	0.748	0.992	3
33	376151	0.125384	-214.137	-205.584	0.601	0.695	0.506	0.990	2
34	381573	0.127191	-214.443	233.382	0.802	0.793	0.811	0.945	2
35	391036	0.130345	234.604	-218.414	0.717	0.788	0.645	0.988	9
36	394596	0.131532	235.521	-233.382	0.754	0.808	0.701	0.991	9
37	457585	0.152528	-162.512	230.022	0.667	0.715	0.618	0.987	9
38	460126	0.153375	-213.526	226.967	0.733	0.779	0.687	0.972	9
39	471085	0.157028	-215.970	234.299	0.768	0.748	0.789	0.990	3
40	504581	0.168194	-195.198	227.884	0.520	0.405	0.635	0.968	2
41	510747	0.170249	-213.832	233.077	0.794	0.834	0.754	0.939	5
42	514842	0.171614	-160.985	240.103	0.799	0.808	0.790	0.988	10
43	541975	0.180658	-96.530	-2.444	0.724	0.856	0.592	0.988	3
44	555285	0.185095	-157.014	235.215	0.742	0.810	0.673	0.995	9
45	572564	0.190855	-94.391	-87.977	0.715	0.756	0.675	0.984	3
46	575876	0.191959	-169.538	229.411	0.669	0.701	0.637	0.992	8
47	581084	0.193695	-179.924	230.022	0.651	0.699	0.603	0.990	4
48	583200	0.194400	-213.832	231.244	0.733	0.760	0.705	0.987	9
49	584979	0.194993	-212.610	228.189	0.633	0.667	0.598	0.981	9
50	608576	0.202859	-214.748	233.688	0.739	0.772	0.705	0.912	3
51	618648	0.206216	-192.449	185.423	0.916	0.924	0.907	0.993	10
52	633459	0.211153	-214.137	234.299	0.789	0.785	0.792	0.955	3
53	633859	0.211286	-214.443	233.993	0.790	0.787	0.792	0.908	3
54	643115	0.214372	-59.567	-68.121	0.690	0.550	0.829	0.933	2
55	735133	0.245044	-186.339	232.160	0.613	0.608	0.617	0.985	7
56	739794	0.246598	-172.898	221.469	0.707	0.767	0.648	0.870	9
57	751608	0.250536	-170.455	222.691	0.695	0.759	0.630	0.988	9
58	763221	0.254407	4.888	-45.821	0.798	0.726	0.870	0.992	4
59	778068	0.259356	-211.694	231.855	0.607	0.593	0.621	0.976	4
60	794953	0.264984	-197.642	224.523	0.564	0.530	0.598	0.980	9
61	829420	0.276473	234.299	-214.748	0.694	0.774	0.613	0.987	8
62	834068	0.278023	-213.221	232.160	0.715	0.704	0.727	0.990	9
63	865969	0.288656	-169.233	222.691	0.703	0.738	0.668	0.991	8
64	882163	0.294054	-214.137	233.688	0.721	0.715	0.728	0.944	4
65	882712	0.294237	-175.648	225.134	0.626	0.705	0.548	0.984	9
66	889471	0.296490	-181.452	205.890	0.928	0.922	0.934	0.993	10
67	911685	0.303895	-151.210	147.849	0.775	0.858	0.692	0.994	7
68	917657	0.305886	-217.498	234.299	0.566	0.441	0.692	0.926	3
69	919247	0.306416	-175.648	215.054	0.814	0.810	0.818	0.996	10
70	934257	0.311419	-156.403	238.270	0.824	0.863	0.785	0.993	9
71	953266	0.317755	-211.999	229.411	0.673	0.710	0.636	0.991	9
72	977813	0.325938	-213.221	228.800	0.674	0.731	0.618	0.992	9
73	985070	0.328357	-175.953	230.938	0.641	0.679	0.602	0.989	9
74	1011389	0.337130	-213.832	233.382	0.772	0.791	0.754	0.924	9
75	1019502	0.339834	-194.587	225.440	0.601	0.672	0.529	0.963	9
76	1069443	0.356481	-216.276	232.771	0.653	0.548	0.758	0.986	6
77	1087373	0.362458	-161.901	231.244	0.730	0.780	0.679	0.994	10
