EventID	ArrivalGlobalIdx	ArrivalTime_s	X_mm	Y_mm	LocateConf	MaxX	MaxY	DetectConf	HitCount
400	126789342	42.263114	-148.766	96.530	0.622	0.680	0.565	0.983	5
401	126826841	42.275614	-159.457	181.146	0.634	0.565	0.704	0.992	7
402	126855613	42.285204	-92.559	1.222	0.754	0.818	0.690	0.988	2
403	126936733	42.312244	-96.530	-91.031	0.745	0.794	0.696	0.855	2
404	126977004	42.325668	-156.708	178.397	0.612	0.613	0.610	0.971	2
405	126989397	42.329799	-117.302	113.025	0.624	0.657	0.591	0.988	5
406	127083142	42.361047	-147.544	127.688	0.769	0.830	0.707	0.991	5
407	127103568	42.367856	-97.446	-92.559	0.678	0.705	0.652	0.969	5
408	127110629	42.370210	-137.463	123.412	0.868	0.892	0.844	0.992	8
409	127133153	42.377718	-115.775	113.331	0.863	0.901	0.825	0.994	9
410	127328630	42.442877	-136.241	94.391	0.884	0.886	0.882	0.993	8
411	127357653	42.452551	-164.956	172.898	0.584	0.564	0.604	0.993	5
412	127493892	42.497964	-113.331	100.501	0.878	0.903	0.853	0.980	9
413	127535668	42.511889	-125.855	126.466	0.846	0.863	0.829	0.994	7
414	127599950	42.533317	-95.308	-92.253	0.623	0.699	0.547	0.991	3
415	127649693	42.549898	115.775	-122.495	0.856	0.836	0.875	0.994	9
416	127798248	42.599416	-97.752	-96.530	0.533	0.633	0.432	0.992	2
417	127845619	42.615206	-112.720	117.302	0.704	0.864	0.544	0.994	7
418	127848673	42.616224	-91.031	-81.562	0.760	0.823	0.696	0.993	2
419	127873553	42.624518	-169.538	176.259	0.682	0.645	0.719	0.989	2
420	127945867	42.648622	-214.748	235.215	0.845	0.832	0.859	0.978	7
421	127986683	42.662228	-71.175	80.645	0.904	0.914	0.894	0.994	3
422	128080564	42.693521	-109.360	121.884	0.737	0.815	0.660	0.987	3
423	128107130	42.702377	-147.544	178.397	0.631	0.707	0.555	0.987	2
424	128129530	42.709843	-111.804	108.749	0.754	0.839	0.668	0.990	2
425	128156602	42.718867	-162.512	174.731	0.744	0.761	0.727	0.967	9
426	128237630	42.745877	-119.135	124.939	0.904	0.903	0.904	0.993	9
427	128275756	42.758585	87.366	-88.587	0.880	0.901	0.859	0.980	7
428	128339283	42.779761	-113.331	116.080	0.751	0.864	0.638	0.993	9
429	128364960	42.788320	-150.599	101.417	0.628	0.700	0.555	0.981	3
430	128371801	42.790600	-151.821	171.676	0.668	0.820	0.516	0.991	3
431	128396230	42.798743	-214.137	231.244	0.528	0.451	0.605	0.963	2
432	128463270	42.821090	-160.679	127.383	0.804	0.829	0.779	0.979	7
433	128470871	42.823624	-94.697	-85.838	0.746	0.825	0.666	0.984	2
434	128471436	42.823812	-90.115	-82.173	0.755	0.821	0.688	0.993	4
435	128491481	42.830494	87.977	-100.501	0.815	0.856	0.775	0.993	8
436	128500608	42.833536	-117.913	111.498	0.840	0.905	0.775	0.987	7
437	128560377	42.853459	-109.054	117.302	0.619	0.747	0.492	0.993	6
438	128635618	42.878539	-126.466	105.694	0.904	0.923	0.886	0.989	7
439	128658765	42.886255	-150.599	177.786	0.633	0.740	0.525	0.958	2
440	128660029	42.886676	-145.100	176.564	0.650	0.683	0.618	0.993	5
441	128663891	42.887964	92.864	-96.530	0.802	0.817	0.786	0.994	4
442	128677882	42.892627	-160.068	174.120	0.777	0.812	0.742	0.991	9
443	128702990	42.900997	-74.841	36.962	0.932	0.936	0.928	0.985	5
444	128727592	42.909197	-215.359	233.688	0.680	0.642	0.719	0.976	6
445	128750843	42.916948	-173.509	186.034	0.538	0.464	0.612	0.980	2
446	128831910	42.943970	-156.708	175.953	0.722	0.721	0.723	0.993	8
447	128853440	42.951147	-103.556	102.945	0.781	0.859	0.703	0.981	4
448	128891594	42.963865	-163.123	177.480	0.496	0.520	0.471	0.975	3
449	128915991	42.971997	-60.484	-69.954	0.742	0.636	0.848	0.948	3
450	128948621	42.982874	-149.988	124.633	0.714	0.783	0.645	0.984	4
451	128968549	42.989516	106.916	-106.305	0.810	0.786	0.834	0.989	8
452	128999243	42.999748	-95.613	-87.977	0.721	0.762	0.681	0.986	3
453	129053549	43.017850	-214.443	234.604	0.674	0.772	0.576	0.783	2
454	129102757	43.034252	-153.043	121.273	0.744	0.847	0.642	0.912	4
455	129108517	43.036172	-159.152	177.175	0.741	0.714	0.767	0.995	6
456	129110983	43.036994	-95.613	-87.977	0.704	0.828	0.579	0.990	3
