EventID	ArrivalGlobalIdx	ArrivalTime_s	X_mm	Y_mm	LocateConf	MaxX	MaxY	DetectConf	HitCount
1	9497	0.003166	236.742	-214.748	0.601	0.569	0.632	0.988	2
2	39334	0.013111	-173.815	165.872	0.902	0.882	0.922	0.995	10
3	48528	0.016176	-214.137	234.299	0.731	0.697	0.766	0.971	4
4	63554	0.021185	234.910	-213.832	0.699	0.778	0.620	0.989	6
5	74402	0.024801	170.149	-147.849	0.689	0.546	0.832	0.909	3
6	85105	0.028368	-23.827	27.798	0.783	0.794	0.773	0.994	2
7	149381	0.049794	104.472	-108.749	0.787	0.738	0.835	0.991	3
8	154394	0.051465	93.781	-109.665	0.800	0.753	0.847	0.992	3
9	159610	0.053203	-214.748	233.688	0.797	0.813	0.782	0.985	9
10	174248	0.058083	-160.679	170.149	0.664	0.748	0.581	0.990	3
11	186031	0.062010	234.299	-215.054	0.742	0.815	0.668	0.994	9
12	190305	0.063435	235.826	236.131	0.591	0.602	0.581	0.991	2
13	207454	0.069151	-108.749	114.553	0.662	0.793	0.532	0.972	2
14	213406	0.071135	-116.691	120.051	0.916	0.936	0.896	0.979	9
15	227825	0.075942	234.299	-216.276	0.792	0.823	0.761	0.797	6
16	262419	0.087473	-215.054	234.299	0.779	0.814	0.744	0.985	9
17	274311	0.091437	-155.181	178.397	0.585	0.575	0.596	0.994	2
18	305178	0.101726	-65.371	-70.870	0.646	0.532	0.761	0.854	2
19	308558	0.102853	199.169	-176.564	0.765	0.765	0.766	0.950	9
20	342800	0.114267	-214.748	233.382	0.801	0.790	0.811	0.900	3
21	361783	0.120594	-156.403	168.927	0.816	0.817	0.815	0.991	9
22	364004	0.121335	-166.178	160.374	0.882	0.859	0.905	0.986	9
23	376715	0.125572	-215.665	234.910	0.755	0.722	0.788	0.993	6
24	406186	0.135395	145.406	-150.599	0.621	0.438	0.803	0.976	2
25	410882	0.136961	-12.830	-12.830	0.835	0.843	0.827	0.993	5
26	449409	0.149803	210.166	-176.870	0.584	0.607	0.560	0.863	3
27	474507	0.158169	234.604	-232.466	0.570	0.671	0.469	0.990	2
28	475073	0.158358	230.938	-222.080	0.543	0.614	0.472	0.973	5
29	507496	0.169165	234.910	-214.137	0.685	0.765	0.605	0.981	7
30	511484	0.170495	79.729	-90.115	0.773	0.743	0.803	0.988	2
31	553936	0.184645	-97.446	-89.198	0.695	0.764	0.626	0.990	2
32	589752	0.196584	234.910	-215.970	0.843	0.843	0.844	0.971	10
33	595258	0.198419	-137.769	136.547	0.926	0.933	0.920	0.979	10
34	873634	0.291211	-161.901	224.829	0.706	0.726	0.686	0.994	10
35	877954	0.292651	-96.835	-95.919	0.559	0.606	0.512	0.992	6
36	882227	0.294076	116.386	-112.109	0.669	0.547	0.790	0.802	3
37	957376	0.319125	-213.526	-207.111	0.551	0.593	0.508	0.908	3
38	971430	0.323810	-134.103	127.077	0.917	0.930	0.904	0.996	10
39	1081478	0.360493	-216.276	233.993	0.833	0.837	0.830	0.991	6
40	1197171	0.399057	-214.748	234.299	0.816	0.811	0.822	0.990	9
41	1221281	0.407094	184.201	-165.261	0.682	0.654	0.710	0.820	3
42	1228500	0.409500	124.633	-122.495	0.871	0.862	0.880	0.995	9
43	1230148	0.410049	-161.290	223.302	0.716	0.785	0.647	0.989	10
44	1253513	0.417838	-119.440	125.855	0.890	0.904	0.876	0.996	9
45	1284646	0.428215	-171.982	227.273	0.710	0.775	0.645	0.993	8
