EventID	ArrivalGlobalIdx	ArrivalTime_s	X_mm	Y_mm	LocateConf	MaxX	MaxY	DetectConf	HitCount
149	12141853	4.047284	-216.581	232.771	0.563	0.451	0.674	0.971	6
150	12868479	4.289493	-34.824	-65.066	0.889	0.889	0.890	0.984	10
151	13034899	4.344966	-165.872	184.201	0.610	0.521	0.700	0.992	7
152	13098622	4.366207	102.028	-108.749	0.837	0.803	0.871	0.992	9
153	13276926	4.425642	126.161	-122.495	0.902	0.903	0.901	0.995	10
154	13290359	4.430120	87.977	-116.997	0.843	0.827	0.859	0.984	3
155	13673255	4.557752	37.573	-32.380	0.768	0.670	0.866	0.991	7
156	13778312	4.592771	-149.682	175.648	0.629	0.705	0.554	0.992	5
157	14281245	4.760415	234.299	-214.748	0.619	0.732	0.506	0.962	2
158	14530165	4.843388	111.498	-118.829	0.854	0.823	0.885	0.994	9
159	14853047	4.951016	-160.679	182.063	0.690	0.688	0.693	0.985	4
160	15179938	5.059979	-214.137	233.993	0.794	0.784	0.803	0.953	4
161	16348680	5.449560	-121.579	128.605	0.851	0.871	0.832	0.976	9
162	16900275	5.633425	-151.821	170.760	0.792	0.805	0.780	0.992	9
163	17724690	5.908230	-114.247	124.633	0.876	0.886	0.866	0.994	9
164	18317376	6.105792	40.628	-21.078	0.822	0.807	0.837	0.990	5
165	18507268	6.169089	-124.328	143.573	0.810	0.865	0.756	0.986	9
166	19077398	6.359133	85.838	-73.008	0.832	0.825	0.839	0.982	2
167	19167913	6.389304	-136.547	151.515	0.608	0.711	0.505	0.979	2
168	19430715	6.476905	-141.129	136.547	0.841	0.882	0.800	0.994	9
169	19538445	6.512815	-160.985	183.284	0.786	0.828	0.744	0.992	9
170	19675577	6.558526	-108.138	112.109	0.732	0.821	0.642	0.987	8
171	19840693	6.613564	-157.319	182.979	0.572	0.548	0.596	0.990	2
172	20051246	6.683749	131.048	-116.386	0.811	0.758	0.863	0.992	2
173	20058717	6.686239	124.633	-121.273	0.905	0.908	0.902	0.996	9
174	20402227	6.800742	-148.766	173.815	0.737	0.805	0.668	0.995	9
175	20608458	6.869486	-169.233	179.924	0.815	0.837	0.792	0.986	7
176	21211164	7.070388	-154.570	177.786	0.579	0.642	0.517	0.988	4
177	21252112	7.084037	-214.443	234.604	0.683	0.628	0.739	0.976	3
178	21634647	7.211549	170.149	-146.322	0.775	0.722	0.827	0.992	8
179	21790366	7.263455	-127.077	152.432	0.794	0.848	0.739	0.988	9
180	21830108	7.276703	-158.541	178.397	0.566	0.475	0.657	0.973	3
181	21852456	7.284152	-121.579	169.233	0.626	0.828	0.424	0.982	3
182	22380631	7.460210	-110.887	119.440	0.867	0.878	0.856	0.986	9
183	23336651	7.778884	-159.152	165.872	0.842	0.826	0.859	0.994	9
184	23535978	7.845326	-117.608	113.025	0.881	0.911	0.850	0.994	9
185	24079965	8.026655	173.204	-143.878	0.722	0.615	0.829	0.856	5
186	24314814	8.104938	-155.486	175.953	0.719	0.771	0.667	0.992	9
187	24343235	8.114412	-110.582	120.051	0.704	0.800	0.607	0.990	2
188	24386882	8.128961	-118.524	115.164	0.668	0.805	0.531	0.975	2
189	24432740	8.144247	-157.625	177.480	0.751	0.812	0.690	0.994	8
190	25190969	8.396990	-78.201	58.346	0.838	0.886	0.789	0.994	3
191	25250180	8.416727	181.146	-157.319	0.563	0.543	0.583	0.716	2
192	25581679	8.527226	233.688	-215.970	0.672	0.771	0.572	0.968	5
193	25707173	8.569058	-144.489	169.233	0.707	0.763	0.650	0.993	7
194	25965398	8.655133	233.688	-215.970	0.642	0.758	0.527	0.984	9
195	25966689	8.655563	237.964	-237.048	0.708	0.782	0.634	0.983	9
196	26382453	8.794151	-96.835	-1.222	0.800	0.858	0.742	0.993	3
197	27036616	9.012205	-98.668	103.556	0.775	0.835	0.715	0.992	4
198	27245117	9.081706	-42.155	-16.496	0.750	0.716	0.784	0.993	2
199	27899164	9.299721	-214.443	234.910	0.826	0.824	0.827	0.953	9
200	28045897	9.348632	-156.097	177.175	0.674	0.741	0.607	0.844	7
201	28141498	9.380499	-188.783	185.423	0.725	0.676	0.774	0.989	9
202	28808914	9.602971	-152.126	145.100	0.834	0.887	0.782	0.991	9
203	29045368	9.681789	92.864	-118.218	0.890	0.887	0.893	0.994	7
204	29211380	9.737127	-102.639	112.414	0.645	0.744	0.546	0.986	4
205	29298126	9.766042	236.131	-229.717	0.845	0.852	0.837	0.994	10
206	29301031	9.767010	235.521	-216.887	0.770	0.805	0.735	0.988	9
207	29338190	9.779397	-96.835	-94.391	0.673	0.697	0.649	0.771	2
208	29609243	9.869748	-153.043	178.397	0.712	0.758	0.667	0.990	7
209	29798313	9.932771	-214.748	233.993	0.773	0.770	0.776	0.972	6
210	29800482	9.933494	-157.625	179.924	0.610	0.641	0.578	0.983	5
211	29893192	9.964397	-242.546	229.717	0.803	0.850	0.756	0.994	9
212	30054350	10.018117	-215.359	233.688	0.793	0.791	0.796	0.993	7
213	30105845	10.035282	-158.847	171.371	0.791	0.802	0.780	0.991	8
